pedido,data,plataforma,subtotal,taxas,descontos,faturamento,canal_ultimo,origem_ultimo,midia_ultimo,campanha_ultimo,canal_primeiro,origem_primeiro,midia_primeiro,campanha_primeiro,metodo_match
174971140,2026-08-24,web,423.84,43.84,0,467.68,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971156,2026-08-24,web,1553.33,191.51,0,1744.84,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971160,2026-08-24,web,3049.94,375.14,0,3425.08,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Outros,data not available,data not available,(cross-network),search_id
174971186,2026-08-24,app,1262.53,234.04,0,1496.57,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971190,2026-08-24,web,3443.36,304.16,0,3747.52,Nao identificado,(not set),(not set),(not set),Organico,google,organic,(organic),search_id
174971193,2026-08-24,web,3485.87,237.46,504.41,3218.92,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google,organic,(organic),search_id
174971196,2026-08-24,web,2648.45,106.14,438.31,2316.28,Organico,google,organic,(organic),Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971219,2026-08-24,web,1254.4,130,0,1384.4,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Direto,(direct),(none),(direct),search_id
174971222,2026-08-24,web,1807.46,218.06,0,2025.52,Nao identificado,(not set),(not set),(not set),Direto,(direct),(none),(direct),search_id
174971230,2026-08-24,app,2564.8,235.68,153.12,2647.36,Push,crm,push,123milhas-cv-aereo-ativos-checkindaeconomia,Organico,google-play,organic,,search_id
174971232,2026-08-24,web,3485.87,237.46,504.41,3218.92,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google,organic,(organic),search_id
174971236,2026-08-24,web,793.12,148.72,0,941.84,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971238,2026-08-24,web,3485.87,237.46,504.41,3218.92,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google,organic,(organic),search_id
174971239,2026-08-24,web,3051.74,387.5,0,3439.24,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971254,2026-08-24,app,4878.17,120.17,0,4998.34,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174971267,2026-08-24,web,1823.04,264.24,0,2087.28,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971276,2026-08-24,web,779.57,113.57,0,893.14,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971279,2026-08-24,web,1454.03,165.23,0,1619.26,Organico,bing,organic,(organic),Organico,bing,organic,(organic),search_id
174971282,2026-08-24,web,423.84,43.84,0,467.68,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971287,2026-08-24,web,2868.82,190.68,318.14,2741.36,Nao identificado,(not set),(not set),(not set),Direto,(direct),(none),(direct),search_id
174971299,2026-08-24,web,1072.87,94.87,0,1167.74,Metasearch,skyscanner,metasearch,,Direto,(direct),(none),(direct),url_checkout
174971305,2026-08-24,web,2648.45,106.14,438.31,2316.28,Organico,google,organic,(organic),Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971310,2026-08-24,web,389.97,73.17,0,463.14,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971322,2026-08-24,web,846.21,100.21,0,946.42,Nao identificado,(not set),(not set),(not set),Organico,google,organic,(organic),search_id
174971329,2026-08-24,web,1533.51,188.58,0,1722.09,Organico,google,organic,(organic),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [24] [kpo] [desktop],search_id
174971330,2026-08-24,app,968.78,126.6,44.18,1051.2,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971355,2026-08-24,app,2209.01,175.01,0,2384.02,Push,crm,push,123milhas-cv-aereo-premadrugol,Direto,(direct),(none),(direct),search_id
174971371,2026-08-24,web,618.04,112.68,0,730.72,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [estrutura ro],search_id
174971378,2026-08-24,web,391.46,76.46,0,467.92,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971404,2026-08-24,web,1092.63,144.03,0,1236.66,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971418,2026-08-24,web,650.65,72.85,0,723.5,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971436,2026-08-24,web,1112.16,175.16,0,1287.32,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971450,2026-08-24,web,1091.48,160.88,0,1252.36,Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [24] [kpo] [desktop],Organico,google,organic,(organic),search_id
174971459,2026-08-24,app,1333.47,152.67,0,1486.14,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971477,2026-08-24,web,25725.42,3658.48,0,29383.9,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971478,2026-08-24,web,1796.9,203.9,0,2000.8,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971482,2026-08-24,web,369.84,43.84,0,413.68,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971511,2026-08-24,web,254.29,54.49,0,308.78,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971526,2026-08-24,web,677.06,150,0,827.06,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971530,2026-08-24,web,686.86,65.54,31.32,721.08,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [estrutura ro],search_id
174971531,2026-08-24,web,465.15,61.95,0,527.1,Nao identificado,(not set),(not set),(not set),Direto,(direct),(none),(direct),search_id
174971535,2026-08-24,web,2062.5,201.3,0,2263.8,Metasearch,kayak,metasearch,kayak_metasearch_desktop,Metasearch,kayak,metasearch,kayak_metasearch_desktop,search_id
174971539,2026-08-24,app,2383.52,228.92,0,2612.44,CRM,whatsapp,botaorecompra,perda-de-vaga-whatsapp,CRM,whatsapp,radar,radar123-baixou,search_id
174971553,2026-08-24,web,902.78,131.57,0,1034.35,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971555,2026-08-24,app,1047.27,143.67,0,1190.94,Midia paga,google,cpc,[123Milhas] [Engajamento] [App] [Android] [inc],Organico,google-play,organic,,search_id
174971557,2026-08-24,app,804.37,105.77,0,910.14,Midia paga,google,cpc,[123Milhas] [Engajamento] [App] [Android] [inc],Organico,google-play,organic,,search_id
174971582,2026-08-24,web,1122.38,143.18,0,1265.56,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971592,2026-08-24,web,369.84,43.84,0,413.68,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971593,2026-08-24,web,3210.07,270.41,191.66,3288.82,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971597,2026-08-24,web,1802.54,226.54,0,2029.08,Metasearch,kayak,metasearch,kayak_metasearch_desktop,Metasearch,kayak,metasearch,kayak_metasearch_desktop,search_id
174971618,2026-08-24,web,556.56,90.36,0,646.92,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971626,2026-08-24,web,429.84,59.04,0,488.88,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971632,2026-08-24,app,1291.86,86.73,77.13,1301.46,Midia paga,google,cpc,[123Milhas] [engajamento] [app] [IOS] [inc],Direto,(direct),(none),(direct),search_id
174971633,2026-08-24,web,3502.88,293.28,0,3796.16,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971682,2026-08-24,web,306.72,54.73,13.99,347.46,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971693,2026-08-24,web,2434.12,230.12,0,2664.24,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971714,2026-08-24,web,1352.48,101.69,98.99,1355.18,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [estrutura ro] [origem-destino],search_id
174971733,2026-08-24,web,652.71,73.11,0,725.82,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [estrutura ro] [origem-destino],search_id
174971743,2026-08-24,web,2901.32,233.32,0,3134.64,Metasearch,kayak,metasearch,kayak_metasearch_desktop,Metasearch,kayak,metasearch,kayak_metasearch_desktop,search_id
174971755,2026-08-24,web,1960.43,43.39,117.04,1886.78,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174971799,2026-08-24,web,666.41,130.01,0,796.42,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971821,2026-08-24,app,713.63,53.63,0,767.26,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Direto,(direct),(none),(direct),search_id
174971840,2026-08-24,web,1350.94,256.54,0,1607.48,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971849,2026-08-24,web,388.87,67.14,17.73,438.28,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971850,2026-08-24,web,1041.38,126.6,102.78,1065.2,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971853,2026-08-24,app,911.55,39.55,0,951.1,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174971863,2026-08-24,app,1749,295.04,0,2044.04,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971864,2026-08-24,web,2493.56,234.56,0,2728.12,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971877,2026-08-24,web,2771.05,238.25,0,3009.3,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971882,2026-08-24,web,1872.01,312.03,0,2184.04,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971888,2026-08-24,web,341.84,43.84,0,385.68,Organico,bing,organic,(organic),Organico,bing,organic,(organic),search_id
174971898,2026-08-24,web,2439.38,497.67,0,2937.05,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Organico,google,organic,(organic),search_id
174971912,2026-08-24,app,1480.84,60.43,88.41,1452.86,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Direto,(direct),(none),(direct),search_id
174971916,2026-08-24,web,4196.6,126.6,0,4323.2,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971920,2026-08-24,web,1017.31,147.91,0,1165.22,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971935,2026-08-24,app,1050.29,228.13,0,1278.42,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174971936,2026-08-24,web,1109.67,113.9,95.77,1127.8,Organico,google,organic,(organic),Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174971942,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174971953,2026-08-24,web,2149.42,277.42,0,2426.84,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [24] [kpo] [desktop],search_id
174971955,2026-08-24,app,747.73,53.63,34.1,767.26,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Direto,(direct),(none),(direct),search_id
174971962,2026-08-24,web,1566.45,121.05,0,1687.5,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174971963,2026-08-24,web,1941.68,67.14,88.54,1920.28,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [24] [kpo] [desktop],search_id
174971981,2026-08-24,web,983.11,146.11,0,1129.22,Nao identificado,,,,Nao identificado,,,,sem_origem
174971996,2026-08-24,app,1818.06,330.54,0,2148.6,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972016,2026-08-24,app,593.44,94.84,0,688.28,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174972018,2026-08-24,app,593.44,94.84,0,688.28,Nao identificado,(not set),(not set),(not set),Organico,google-play,organic,,search_id
174972022,2026-08-24,web,1537.88,193.28,0,1731.16,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972029,2026-08-24,web,349.28,86.48,0,435.76,Midia paga,google,cpc,googleflights_meta_grupo_de_voo,Metasearch,googleflights,metasearch,googleflights_meta_grupo_de_voo,search_id
174972041,2026-08-24,app,747.73,53.63,34.1,767.26,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Direto,(direct),(none),(direct),search_id
174972045,2026-08-24,web,1692.44,87.11,207.33,1572.22,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972054,2026-08-24,web,2462.65,53.63,147.02,2369.26,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972064,2026-08-24,web,1391.05,111.25,0,1502.3,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972067,2026-08-24,app,1808.88,217.68,0,2026.56,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174972071,2026-08-24,app,747.73,53.63,34.1,767.26,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Direto,(direct),(none),(direct),search_id
174972074,2026-08-24,app,4424.58,751.36,0,5175.94,Nao identificado,,,,Nao identificado,,,,sem_origem
174972081,2026-08-24,app,1293.79,206.63,0,1500.42,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174972088,2026-08-24,web,939.32,104.12,0,1043.44,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972099,2026-08-24,web,3254.5,288.5,0,3543,Metasearch,kayak,metasearch,kayak_metasearch_mobile,Metasearch,kayak,metasearch,kayak_metasearch_mobile,search_id
174972112,2026-08-24,web,3117.74,542.48,0,3660.22,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [estrutura ro],search_id
174972114,2026-08-24,app,1297.28,255.38,0,1552.66,Midia paga,google,cpc,[123Milhas] [Engajamento] [App] [Android] [inc],Organico,google-play,organic,,search_id
174972115,2026-08-24,app,587.94,108.84,35.1,661.68,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google-play,organic,,search_id
174972122,2026-08-24,web,2546.2,51.2,0,2597.4,Midia paga,google,cpc,googleflights_meta_grupo_de_voo,Metasearch,googleflights,metasearch,googleflights_meta_grupo_de_voo,search_id
174972136,2026-08-24,web,2177.44,168.64,0,2346.08,Organico,google,organic,(organic),Direto,(direct),(none),(direct),search_id
174972137,2026-08-24,app,548.4,148.8,0,697.2,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174972140,2026-08-24,web,1263.4,100.37,109.03,1254.74,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972143,2026-08-24,app,817.79,129.38,0,947.17,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174972148,2026-08-24,web,2204.99,38.44,100.55,2142.88,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972156,2026-08-24,web,1364.32,94.11,62.21,1396.22,Metasearch,skyscanner,metasearch,,Direto,(direct),(none),(direct),url_checkout
174972157,2026-08-24,app,871.14,67.14,0,938.28,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Direto,(direct),(none),(direct),search_id
174972163,2026-08-24,web,2439.38,497.67,0,2937.05,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Organico,google,organic,(organic),search_id
174972172,2026-08-24,web,976.92,112.92,0,1089.84,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972189,2026-08-24,web,1182.25,235.82,0,1418.07,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972197,2026-08-24,web,1852.1,190.1,0,2042.2,Midia paga,google,cpc,(not set),Midia paga,google,cpc,[123milhas] [voos] [prospecção] [vendas] [search] [web] [24] [kpo] [desktop],search_id
174972202,2026-08-24,web,2933.28,129.28,0,3062.56,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972204,2026-08-24,web,1760.89,126.08,254.81,1632.16,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972210,2026-08-24,web,419.76,83.16,0,502.92,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972218,2026-08-24,app,1342.25,109.25,0,1451.5,Push,crm,push,123milhas-cv-aereo-pontual,Direto,(direct),(none),(direct),search_id
174972238,2026-08-24,web,1566.45,121.05,0,1687.5,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972246,2026-08-24,app,1892.48,222.08,0,2114.56,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972265,2026-08-24,web,884.06,169.46,0,1053.52,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Outros,data not available,data not available,(cross-network),search_id
174972273,2026-08-24,app,730.5,92.1,0,822.6,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972279,2026-08-24,web,2531.36,256.16,0,2787.52,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Direto,(direct),(none),(direct),search_id
174972296,2026-08-24,web,553.39,43.39,0,596.78,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972297,2026-08-24,web,2588.89,456.36,0,3045.25,CRM,whatsapp,botaorecompra,perda-de-vaga-whatsapp,CRM,whatsapp,botaorecompra,perda-de-vaga-whatsapp,search_id
174972313,2026-08-24,app,1457.24,224.42,0,1681.66,Push,crm,push,123milhas-jornada-abandono-checkout-psh,Organico,google-play,organic,,search_id
174972321,2026-08-24,web,843.96,134.76,0,978.72,Midia paga,google,cpc,googleflights_meta_grupo_de_voo,Metasearch,googleflights,metasearch,googleflights_meta_grupo_de_voo,search_id
174972331,2026-08-24,app,2042.74,340.57,0,2383.31,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174972343,2026-08-24,app,1225.37,174.17,0,1399.54,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972352,2026-08-24,app,548.4,148.8,0,697.2,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174972376,2026-08-24,web,595.69,127.69,0,723.38,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google,organic,(organic),search_id
174972378,2026-08-24,web,2617.85,198.65,0,2816.5,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972380,2026-08-24,app,1423.31,168.71,0,1592.02,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972382,2026-08-24,web,1498.38,283.38,0,1781.76,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972385,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972391,2026-08-24,web,832.97,141.77,0,974.74,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972394,2026-08-24,web,2624.31,129.28,259.03,2494.56,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972397,2026-08-24,web,785.78,99.98,0,885.76,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972422,2026-08-24,web,518.83,119.23,0,638.06,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972426,2026-08-24,web,23526.08,1635.68,0,25161.76,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972427,2026-08-24,web,1341,276.82,0,1617.82,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972439,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972442,2026-08-24,web,998.84,106.04,0,1104.88,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972471,2026-08-24,web,2211.03,97.03,0,2308.06,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972472,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972488,2026-08-24,web,1469.63,219.49,0,1689.12,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972497,2026-08-24,web,3335.49,468.34,0,3803.83,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972502,2026-08-24,web,1163.88,199.17,0,1363.05,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Direto,(direct),(none),(direct),search_id
174972505,2026-08-24,web,424.34,38.44,0,462.78,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972512,2026-08-24,web,2255.66,214.46,0,2470.12,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972516,2026-08-24,app,1408.99,262.85,0,1671.84,Organico,google-play,organic,,Organico,google-play,organic,,search_id
174972517,2026-08-24,app,525.25,66.25,0,591.5,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972527,2026-08-24,web,2177.42,191.42,0,2368.84,Midia paga,skyscanner,cpc,branding_itineraryplus_voe_app,Midia paga,skyscanner,cpc,branding_itineraryplus_voe_app,search_id
174972530,2026-08-24,web,447.14,122.42,32.72,536.84,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
174972531,2026-08-24,app,1529.41,290.16,0,1819.57,Push,firebase,push,20260422_14_PSH_PROMO_BLAST_123MILHAS_VOO_IDAEVOLTANACIONAL,Direto,(direct),(none),(direct),search_id
174972532,2026-08-24,web,701.76,129.76,0,831.52,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972542,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972549,2026-08-24,app,676.76,160.52,0,837.28,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Organico,google-play,organic,,search_id
174972562,2026-08-24,app,1086.83,233.35,0,1320.18,Push,crm,push,123milhas-cv-aereo-campeoesdevenda,Direto,(direct),(none),(direct),search_id
174972568,2026-08-24,app,1008.88,174.77,0,1183.65,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [Search] [Web] [Estrutura RO],Organico,google-play,organic,,search_id
174972572,2026-08-24,web,925.05,103.05,0,1028.1,Metasearch,skyscanner,metasearch,,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,url_checkout
174972577,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972592,2026-08-24,app,4995.6,171.6,0,5167.2,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972600,2026-08-24,web,2537.13,225.93,0,2763.06,Nao identificado,(not set),(not set),(not set),Organico,google,organic,(organic),search_id
174972639,2026-08-24,web,321.54,53.34,0,374.88,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Direto,(direct),(none),(direct),search_id
174972643,2026-08-24,app,1328.7,233.1,0,1561.8,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972649,2026-08-24,web,596.92,83.92,0,680.84,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972657,2026-08-24,web,689.37,118.77,0,808.14,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972660,2026-08-24,app,1794.85,115.89,107.16,1803.58,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972665,2026-08-24,web,1190.4,126.6,0,1317,Midia paga,google,cpc,googleflights_meta_grupo_de_voo,Metasearch,googleflights,metasearch,googleflights_meta_grupo_de_voo,search_id
174972669,2026-08-24,web,1460.23,155.03,0,1615.26,Metasearch,kayak,metasearch,mundi_metasearch_desktop,Metasearch,kayak,metasearch,mundi_metasearch_desktop,search_id
174972672,2026-08-24,web,2624.31,129.28,259.03,2494.56,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972674,2026-08-24,web,214.39,48.79,0,263.18,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,Metasearch,skyscanner,metasearch,skyscanner_core_mobile,search_id
174972686,2026-08-24,app,2042.74,340.57,0,2383.31,Midia paga,google,cpc,[123Milhas] [Voos] [Prospecção] [Vendas] [PMAX] [Web] [Novos Criativos] [Destinos],Organico,google-play,organic,,search_id
174972690,2026-08-24,web,786.51,152.91,0,939.42,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Organico,google,organic,(organic),search_id
174972702,2026-08-24,web,3527.74,232.52,391.22,3369.04,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
174972711,2026-08-24,web,1756.58,150.98,0,1907.56,Organico,google,organic,(organic),Organico,google,organic,(organic),search_id
174972738,2026-08-24,web,1564.48,188.06,0,1752.54,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,Metasearch,skyscanner,metasearch,skyscanner_core_desktop,search_id
